source_id,ra,dec,parallax,pmra,pmdec,dr2_radial_velocity
604701128643010816,132.98140766692794,11.402848515506244,1.1546228221033752,-11.14021812325821,-3.0011032444345016,
604701163002747136,133.02076396933913,11.383099281237333,1.07902768899703,-10.744801628674956,-2.72182953656873,
604701747118303104,132.94362958391346,11.388466965409691,1.007169978267272,-11.066380356430539,-2.698786196818033,
604701953276603520,132.95206704232163,11.427106639464892,1.1563356285063975,-10.918294172903781,-2.8265332596625363,33.337822
604703052788343296,133.08341951956004,11.460060090955055,1.1764006095470585,-11.239144137620457,-2.7902198344755966,35.430065
604703465105196416,133.1172007518235,11.484407098649921,1.1233096773516908,-11.181919303675286,-2.9364879918259517,
604703499464932736,133.12810028981824,11.484900657708572,1.1471978798789568,-11.163907300706104,-2.8426037812901597,
604703941846497280,133.0376870330997,11.467104244354237,1.1452746975719046,-11.109654981755499,-2.8446502073414113,
604704010566644480,133.01639797627516,11.481802173015318,1.6387474189518896,-10.81765001936486,-2.519321056611986,
604704560321786368,133.06136403339744,11.518703625496727,1.143756697211575,-11.082338306846758,-2.6936241371397873,
604704633336193152,133.0958555514369,11.531271266565351,1.2012755468888845,-11.230727231566814,-3.050749292633898,
604704697760911616,133.08549104833875,11.534091000204374,1.2352329218248634,-11.084291786472264,-3.055670059052879,
604704770775147520,133.04566489986095,11.530330529683916,1.1698836129931296,-10.988945658605942,-2.6463775334936304,34.38683
604708790864617344,133.27223150913105,11.579903662294974,1.1824348074745221,-10.77571799975848,-2.6539955440705736,33.655487
604708825224352640,133.28861069266978,11.598781582963008,1.142989821383854,-10.934974283021646,-3.238848910051754,
604709679922972288,133.12860020701825,11.522402714904068,0.9443319497653626,-10.697672998512981,-3.0973757964754913,
604711299125433472,133.18111911745754,11.610505580026693,1.110024824718389,-10.850281413839424,-2.5933768642787607,
604711505283863808,133.16345341370965,11.628877073776273,1.0362060430747204,-10.783937946892262,-2.739194284029662,
604711539643602816,133.1497921246917,11.623532507119325,1.1685711653978457,-10.708912426265975,-2.8833629801761793,
604712089399413632,133.2369274202692,11.620732696298306,1.083356725823082,-11.321969127447389,-2.7319599696345707,
604712158118974080,133.2840537867722,11.612214220121187,1.8625455389656487,-10.996392336595553,-2.9136435016630697,
604712531781276928,133.26925829793066,11.654981745765992,1.0415412360590777,-10.82062648099963,-2.8662415720462295,
604712600500056320,133.294786276516,11.66318582245625,1.2771223378532597,-11.107691836095352,-2.9194600192300495,
604712776594182656,133.18199934003752,11.621586093402572,1.1321454051796456,-10.916077535351324,-2.570561497931733,
604713017112350592,133.1859680792709,11.64480425568899,1.1716537246727672,-11.028478188089556,-2.6069006183550414,
604713532508424448,133.2241652879276,11.67118768754245,1.3818849920178804,-11.171210241467469,-3.179259327179836,
604713669947377024,133.23984942780012,11.683979802593408,1.2365046662721901,-10.92175308908688,-2.5956410078205625,
