source_id,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,bp_rp,dr2_radial_velocity
604697520872028160,133.02953600138008,11.344110623646857,0.4920245237688976,0.1540075735331241,-3.705077587602472,19.290035,0.72101974,
604697585299695360,133.0012818251311,11.336865034797206,0.9397122619516491,-9.973613643771925,-11.1980690544534,19.665262,1.8854237,
604697589589959552,133.0016522348884,11.336916576789726,,,,20.245499,,
604697654014497280,132.9873283489975,11.334677875556158,-0.058001517367481534,0.8699766613127156,-6.104800466506789,19.738136,0.84523773,
604697688374241152,133.00078590166197,11.350597727067504,0.7597015248300523,-9.101201167827,-5.915767101351153,18.985542,2.4354,
604697761388706176,133.03918405154084,11.356001570582146,2.463127056199754,-19.751234717152414,-16.58822966375115,19.964045,2.2741203,
604697825813342464,133.0147062283984,11.368445765762175,1.3445660680994145,-1.906573462714888,0.9519759806025503,20.449558,2.085867,
604697825813740672,133.02058532649073,11.374069004069687,,,,20.795736,0.9739647,
604698066331370624,133.07114164637045,11.380778949543748,,,,19.628527,1.5285225,
604698169415291392,133.06010272476928,11.372224444869065,1.0882647934253507,-1.1518833665757662,-0.7959021344260642,20.69648,0.63669586,
604698173705504512,133.05698682009222,11.37646494829597,0.628438640411171,-1.6128730170451375,-4.288320333444557,15.445424,0.83302784,
604698173705505152,133.05335666745927,11.371550321829915,2.3577747168488026,-13.594745926914596,-16.01554309352787,19.18845,2.4291382,
604698208065245056,133.0414507748804,11.379610714577476,0.06733069279146342,1.8471586531252908,-9.59860334286057,18.142157,0.8003235,
604698272489669632,133.064951942205,11.383630159667526,1.8175273405441024,4.552099385476426,-7.654956553032294,14.547466,1.152339,
604698306849407232,133.07879100148645,11.39710505911026,1.0462453032311048,-10.352805168394646,-2.505522340699637,14.919369,0.9210844,
604698306849543168,133.08217740400337,11.394067379600438,1.4881520272689595,-6.5647847397418495,2.7792446384111944,18.966228,2.0308743,
604698306849546368,133.07800448212726,11.399285180071942,2.0636066995150086,-1.6249430983182078,-9.162175990555731,15.843439,1.5837755,
604698311144454144,133.0737220998691,11.400152382013225,1.2768550050963283,-5.1635900755635324,-2.85099471594556,19.542704,2.0570507,
604698311144454656,133.07252964794912,11.397048001788898,-0.2871132208346635,-0.8610861333168457,-2.537432169553444,19.327787,0.901762,
604698341209279616,133.05536974505864,11.387696280458096,0.17609629288939116,-5.401732626050811,1.0599211094695944,18.438782,1.4360847,
604698341209836288,133.05223630189133,11.39702449418232,0.6195648555802242,-17.573736786460614,0.3049900544789349,20.68473,1.8620892,
604698345504195456,133.05663544652268,11.393363626734008,1.1611753160591376,-10.479523913192356,-2.2193048904706214,14.428984,0.8573103,
604698345504195584,133.05228181571434,11.396000034842606,2.1641083981266904,-17.644810592265884,1.530248785893443,17.149462,2.1264248,
604699543800745600,133.1235973483767,11.396569095140118,-4.7441162853697945,3.414607645189182,-7.266412122157525,20.889248,1.5520878,
604699548095029248,133.12465027201583,11.395876959135357,0.26741135974194263,-3.0648129620201203,0.5402274984841668,19.660282,1.689518,
604699578160003584,133.10069313897029,11.399824428626546,0.9818450131229137,1.8873784210292968,-6.19245717168189,20.4162,1.7896442,
604699616814508032,133.10592629473416,11.405387497951553,0.6539426693964732,-6.089478900464193,3.66613462221681,15.70626,0.95003605,
604699754253454080,133.1391747448826,11.428063206188705,-0.6628782598338466,-1.9697753374170244,-0.9514190181750615,19.347633,0.78907776,
604699754253454720,133.13099269326747,11.43057368074103,0.6973270934413143,-5.122197389307063,1.6318210860615887,18.306128,1.2680111,
604699788613202048,133.09008394848502,11.400406452580306,2.0193469084901903,-22.23311372164015,4.685593132835297,14.848915,1.2309227,
604699822972938880,133.09948815907657,11.407655761417594,0.6714321329519555,0.06517793006832784,-6.439292143158892,15.573388,0.807374,
604699887397656064,133.0938973142077,11.428517714796085,0.8661047570035798,2.7866435168348196,-13.077365635443472,20.062658,1.8111553,
604699891692416256,133.08102047523244,11.423940747231718,1.0300255404118739,-1.9272420254978049,1.9507048908470046,15.974243,1.0295095,
604699926052261760,133.112387050173,11.426855692507019,,,,21.715792,1.5129166,
604699956116997120,133.12187648585268,11.440429651043539,1.0555355560294328,-21.707509096146033,2.3825248906154917,15.950618,1.2979546,
604699960411886336,133.12265654429623,11.432576580891714,0.15026872588996976,-4.328060745800006,0.7424924938929598,17.242474,0.75824547,
604700029131364736,133.10943057328683,11.441912242117198,0.6048726778167313,-1.855687685008046,-1.1203743618148199,20.385618,1.6087494,
604700677676130560,132.9699230259184,11.35295676550976,,,,21.288145,1.708849,
604700059201037952,133.15338938988546,11.417252339012265,1.1112393051754903,-11.987188291817787,-2.5970729774942964,20.280046,2.1330738,
604700097850834176,133.16392796898566,11.434054873400534,1.5653068142800732,-2.45861280865717,-3.7354816187991235,20.240353,1.4959888,
604700132210574976,133.14974893906043,11.431236733849982,-0.24883870632484448,-6.635376139099005,-6.2199659919798655,19.615002,1.9319592,
604700166570312832,133.14524966642585,11.442205789216702,1.2341713949491209,2.899146794965084,-6.456351086006201,19.458902,2.5133686,
604700269649524352,133.1638138861655,11.452748258715362,-0.0375163872478158,-2.511384339867181,0.09394667385302527,19.760372,1.0560055,
604700269651079424,133.15983120812095,11.453548029879494,,,,20.658413,1.3082066,
604700334074258048,133.1325103832975,11.448133665183281,,,,21.128077,1.529913,
604700368433998208,133.14757215776635,11.454224294785893,-0.1778458771462048,0.1111630654901562,-0.23058810064511623,19.554918,0.3703022,
604700437153338368,133.13159362911955,11.458002860634974,-0.6108401287489396,0.5644360797286698,-1.232431101660017,20.494423,0.78866196,
