source_id,ra,dec,parallax,pmra,pmdec,dr2_radial_velocity
604697520872028160,133.02953600138008,11.344110623646857,0.4920245237688976,0.1540075735331241,-3.705077587602472,
604697585299695360,133.0012818251311,11.336865034797206,0.9397122619516491,-9.973613643771925,-11.1980690544534,
604697589589959552,133.0016522348884,11.336916576789726,,,,
604697654014497280,132.9873283489975,11.334677875556158,-0.058001517367481534,0.8699766613127156,-6.104800466506789,
604697688374241152,133.00078590166197,11.350597727067504,0.7597015248300523,-9.101201167827,-5.915767101351153,
604697761388706176,133.03918405154084,11.356001570582146,2.463127056199754,-19.751234717152414,-16.58822966375115,
604697825813342464,133.0147062283984,11.368445765762175,1.3445660680994145,-1.906573462714888,0.9519759806025503,
604697825813740672,133.02058532649073,11.374069004069687,,,,
604698066331370624,133.07114164637045,11.380778949543748,,,,
604698169415291392,133.06010272476928,11.372224444869065,1.0882647934253507,-1.1518833665757662,-0.7959021344260642,
604698173705504512,133.05698682009222,11.37646494829597,0.628438640411171,-1.6128730170451375,-4.288320333444557,
604698173705505152,133.05335666745927,11.371550321829915,2.3577747168488026,-13.594745926914596,-16.01554309352787,
604698208065245056,133.0414507748804,11.379610714577476,0.06733069279146342,1.8471586531252908,-9.59860334286057,
604698272489669632,133.064951942205,11.383630159667526,1.8175273405441024,4.552099385476426,-7.654956553032294,
604698306849407232,133.07879100148645,11.39710505911026,1.0462453032311048,-10.352805168394646,-2.505522340699637,
604698306849543168,133.08217740400337,11.394067379600438,1.4881520272689595,-6.5647847397418495,2.7792446384111944,
604698306849546368,133.07800448212726,11.399285180071942,2.0636066995150086,-1.6249430983182078,-9.162175990555731,
604698311144454144,133.0737220998691,11.400152382013225,1.2768550050963283,-5.1635900755635324,-2.85099471594556,
604698311144454656,133.07252964794912,11.397048001788898,-0.2871132208346635,-0.8610861333168457,-2.537432169553444,
604698341209279616,133.05536974505864,11.387696280458096,0.17609629288939116,-5.401732626050811,1.0599211094695944,
604698341209836288,133.05223630189133,11.39702449418232,0.6195648555802242,-17.573736786460614,0.3049900544789349,
604698345504195456,133.05663544652268,11.393363626734008,1.1611753160591376,-10.479523913192356,-2.2193048904706214,
604698345504195584,133.05228181571434,11.396000034842606,2.1641083981266904,-17.644810592265884,1.530248785893443,
604699543800745600,133.1235973483767,11.396569095140118,-4.7441162853697945,3.414607645189182,-7.266412122157525,
604699548095029248,133.12465027201583,11.395876959135357,0.26741135974194263,-3.0648129620201203,0.5402274984841668,
604699578160003584,133.10069313897029,11.399824428626546,0.9818450131229137,1.8873784210292968,-6.19245717168189,
604699616814508032,133.10592629473416,11.405387497951553,0.6539426693964732,-6.089478900464193,3.66613462221681,
604699754253454080,133.1391747448826,11.428063206188705,-0.6628782598338466,-1.9697753374170244,-0.9514190181750615,
604699754253454720,133.13099269326747,11.43057368074103,0.6973270934413143,-5.122197389307063,1.6318210860615887,
604699788613202048,133.09008394848502,11.400406452580306,2.0193469084901903,-22.23311372164015,4.685593132835297,
604699822972938880,133.09948815907657,11.407655761417594,0.6714321329519555,0.06517793006832784,-6.439292143158892,
604699887397656064,133.0938973142077,11.428517714796085,0.8661047570035798,2.7866435168348196,-13.077365635443472,
604699891692416256,133.08102047523244,11.423940747231718,1.0300255404118739,-1.9272420254978049,1.9507048908470046,
604699926052261760,133.112387050173,11.426855692507019,,,,
604699956116997120,133.12187648585268,11.440429651043539,1.0555355560294328,-21.707509096146033,2.3825248906154917,
604699960411886336,133.12265654429623,11.432576580891714,0.15026872588996976,-4.328060745800006,0.7424924938929598,
604700029131364736,133.10943057328683,11.441912242117198,0.6048726778167313,-1.855687685008046,-1.1203743618148199,
604700677676130560,132.9699230259184,11.35295676550976,,,,
604700059201037952,133.15338938988546,11.417252339012265,1.1112393051754903,-11.987188291817787,-2.5970729774942964,
604700097850834176,133.16392796898566,11.434054873400534,1.5653068142800732,-2.45861280865717,-3.7354816187991235,
604700132210574976,133.14974893906043,11.431236733849982,-0.24883870632484448,-6.635376139099005,-6.2199659919798655,
604700166570312832,133.14524966642585,11.442205789216702,1.2341713949491209,2.899146794965084,-6.456351086006201,
604700269649524352,133.1638138861655,11.452748258715362,-0.0375163872478158,-2.511384339867181,0.09394667385302527,
604700269651079424,133.15983120812095,11.453548029879494,,,,
604700334074258048,133.1325103832975,11.448133665183281,,,,
604700368433998208,133.14757215776635,11.454224294785893,-0.1778458771462048,0.1111630654901562,-0.23058810064511623,
604700437153338368,133.13159362911955,11.458002860634974,-0.6108401287489396,0.5644360797286698,-1.232431101660017,
604700471513078400,133.14519721602443,11.463643906402265,0.16092742608158217,-1.0951084933263446,-2.040520791387084,
604700471513215616,133.16192542755374,11.465047836528312,-1.6087573594189848,1.2943793317717047,-2.9195659656104325,
604700475807955968,133.15086622676682,11.456919430130599,1.6903829188716193,-7.7917780538410275,-7.3761484735607326,
604700578887168896,133.1525831446605,11.481361949813701,0.36094210368867174,-3.3028043482026765,-1.9467809942270196,
604700613246936704,132.97637641808427,11.344119947508476,0.4544431190214433,8.96116954858549,-14.13230530011345,
604700613246936832,132.9750044115805,11.342814282035308,0.41346235676840826,0.29672754960832004,-4.631519218569444,
604701163002932352,133.03178667421267,11.387591942006933,,,,
604700746390957952,133.00286034996083,11.360539986667037,0.050261551230322846,-0.8678313757473468,-0.18709336445196084,
604700746391495296,133.00783221257475,11.366888901574562,,,,
604700750685889280,132.99484575745475,11.367654657261724,1.338776572256579,0.27500091784277647,-3.9282672257264744,
604700849470046976,133.00632579631824,11.389579886328747,2.765952747111809,-5.999990034077972,-11.843303144818945,
