#EEP,M/Mo,LogTeff,LogG,LogL/Lo,Gaia_G,Gaia_BP,Gaia_RP
214,1.407499,3.6702,2.7308,1.4897,1.0978,1.6863,0.3912
215,1.407917,3.6689,2.7004,1.5149,1.0405,1.6336,0.3305
216,1.40833,3.6674,2.6699,1.54,0.9836,1.5815,0.2701
217,1.408403,3.6672,2.6643,1.5446,0.9731,1.5719,0.259
218,1.408475,3.6669,2.6587,1.5492,0.9627,1.5622,0.2479
219,1.408546,3.6667,2.653,1.5539,0.9522,1.5526,0.2367
220,1.408619,3.6664,2.6473,1.5586,0.9416,1.5429,0.2255
221,1.40869,3.6662,2.6416,1.5632,0.931,1.5332,0.2143
222,1.408761,3.6659,2.6359,1.568,0.9203,1.5234,0.2029
223,1.408832,3.6657,2.63,1.5727,0.9095,1.5136,0.1915
224,1.408902,3.6654,2.6243,1.5775,0.8988,1.5038,0.1801
225,1.408973,3.6652,2.6185,1.5823,0.888,1.4939,0.1687
226,1.409044,3.6649,2.6127,1.587,0.8772,1.4841,0.1573
227,1.409711,3.6623,2.5587,1.6313,0.7778,1.3934,0.0516
228,1.410328,3.6605,2.5177,1.6649,0.7027,1.325,-0.0283
229,1.410932,3.6612,2.5265,1.6591,0.7138,1.3337,-0.0154
230,1.411604,3.6629,2.5608,1.632,0.7735,1.3872,0.0487
231,1.412363,3.6608,2.5098,1.6743,0.6783,1.3,-0.0522
232,1.413056,3.6569,2.4331,1.7362,0.5413,1.1764,-0.1988
233,1.413667,3.6532,2.3601,1.7947,0.4135,1.0623,-0.336
234,1.414206,3.6497,2.2894,1.851,0.2919,0.9545,-0.4672
235,1.414682,3.6461,2.2208,1.9056,0.1758,0.8528,-0.5928
236,1.4151,3.6426,2.154,1.9585,0.0645,0.7558,-0.7137
237,1.415471,3.6391,2.0889,2.0098,-0.0424,0.6632,-0.8301
238,1.415805,3.6356,2.024,2.0607,-0.1471,0.5736,-0.9447
239,1.416102,3.6321,1.9603,2.1104,-0.2474,0.4895,-1.0553
240,1.416369,3.6285,1.8971,2.1592,-0.3441,0.41,-1.1627
241,1.416607,3.6249,1.8353,2.207,-0.4366,0.3357,-1.2662
242,1.416822,3.6214,1.7746,2.2536,-0.5257,0.2651,-1.3665
243,1.417015,3.6179,1.7151,2.2993,-0.611,0.1988,-1.4633
244,1.417189,3.6145,1.6572,2.3437,-0.6921,0.1379,-1.556
245,1.417347,3.6111,1.6001,2.3872,-0.7698,0.0819,-1.6457
246,1.41749,3.6078,1.5444,2.4296,-0.8432,0.0315,-1.7314
247,1.41762,3.6045,1.4897,2.4711,-0.913,-0.0132,-1.8137
248,1.417738,3.6012,1.4362,2.5115,-0.9783,-0.0515,-1.8927
249,1.417846,3.5979,1.3836,2.5511,-1.0403,-0.0847,-1.9692
250,1.417945,3.5947,1.3321,2.5898,-1.0987,-0.1129,-2.042
251,1.418035,3.5916,1.2818,2.6275,-1.1529,-0.1349,-2.111
252,1.418118,3.5885,1.2326,2.6643,-1.2034,-0.1512,-2.1763
253,1.418195,3.5854,1.1845,2.7003,-1.25,-0.1614,-2.2379
254,1.418266,3.5824,1.1371,2.7356,-1.2928,-0.1649,-2.2958
255,1.41833,3.5794,1.0909,2.7699,-1.3316,-0.1605,-2.3505
256,1.41839,3.5765,1.0458,2.8033,-1.3667,-0.1473,-2.4021
257,1.418446,3.5736,1.0015,2.836,-1.3983,-0.1288,-2.4508
258,1.418498,3.5707,0.958,2.868,-1.4264,-0.1043,-2.4957
259,1.418546,3.5678,0.9154,2.8991,-1.4508,-0.0745,-2.5369
260,1.418591,3.565,0.8737,2.9295,-1.4714,-0.039,-2.5739
261,1.418633,3.5622,0.8328,2.9592,-1.4882,0.0022,-2.6069
262,1.418672,3.5595,0.7928,2.9883,-1.5014,0.0488,-2.6358
263,1.418709,3.5567,0.7534,3.0168,-1.5049,0.1121,-2.6555
264,1.418743,3.5541,0.715,3.0444,-1.5002,0.195,-2.6664
265,1.418775,3.5514,0.6772,3.0716,-1.4985,0.2776,-2.6799
266,1.418805,3.5488,0.6404,3.098,-1.4959,0.3612,-2.6918
267,1.418835,3.5462,0.6041,3.1239,-1.4905,0.4497,-2.7005
268,1.418861,3.5437,0.5688,3.1492,-1.4848,0.5363,-2.7083
269,1.418887,3.5412,0.5341,3.1739,-1.4797,0.6186,-2.7156
270,1.418911,3.5387,0.5001,3.198,-1.4671,0.7114,-2.7154
271,1.418934,3.5363,0.4667,3.2216,-1.4432,0.8209,-2.7039
272,1.418955,3.5339,0.4342,3.2445,-1.4152,0.933,-2.6876
273,1.418976,3.5316,0.4023,3.2671,-1.3728,1.0551,-2.6563
274,1.418996,3.5292,0.371,3.289,-1.3091,1.1914,-2.6027
275,1.419014,3.5269,0.3405,3.3104,-1.2448,1.3204,-2.5473
276,1.419031,3.5247,0.3107,3.3314,-1.184,1.437,-2.494
277,1.419049,3.5225,0.2817,3.3515,-1.1294,1.5372,-2.4455
278,1.419062,3.5204,0.2541,3.3709,-1.0825,1.6197,-2.4033
