,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,bp_rp
484,67.09797616794343,14.740888781191005,18.031611641848453,96.55267154525558,-15.77217172551526,5.8225656,0.456995
4873,68.40865079618047,16.762386244728727,20.615561138719762,97.99880517969228,-25.49159863900907,9.15698,1.0530233
6193,65.39545704764056,14.409703887220195,20.679796934503287,104.19978440400169,-19.148581742579594,6.499024400000001,0.54883385
6876,68.48680175601453,16.86893699017762,21.48256636168679,102.05202469721355,-28.39885970028468,13.742438,2.7609415
7020,65.84974595899124,14.427849817287893,21.160045770916078,110.94351874539677,-21.135525821762922,13.543492,2.9259453
9801,65.39669553192954,14.695153868168015,20.326692831232425,106.49657261059143,-19.73171837672036,14.278773000000001,2.862668
11226,65.23411332349541,14.859496095395016,20.600621399663094,110.08201071512241,-21.127957778586953,15.127425,3.1471786
13450,65.88522390284595,14.67039844789645,21.47606756520902,109.24196419712031,-17.947133876529183,8.887172999999999,1.0133181
13549,66.05246947657736,14.758157583423538,20.85619771465096,110.22626713190958,-12.401878513086965,7.4817165999999995,0.7890749
14051,65.96041133865042,14.921402707495973,25.65988752890129,113.94731001144052,-28.725636874633704,12.134732000000001,2.6072577999999997
15007,66.46067898955343,15.002464972130214,21.39808326312012,107.05284803871862,-22.616431639961323,14.749543,3.0265055
15304,66.52007676867467,15.041285019426095,20.8390589991997,101.60630054880184,-22.71326170096517,11.470464,1.9116601999999998
16999,65.68458418346765,15.056034383369546,21.18773295114552,114.26697815985807,-13.83439728546639,7.1384563,0.75829554
17000,65.68440170253284,15.056327740576606,21.026355477142264,100.34236674943136,-29.289519804074054,8.366908,0.71623135
17002,65.66660974089086,15.062399584369444,23.37666540858679,84.40576431748806,-23.434784824028053,14.077939,3.0911245
17358,65.75678797400016,15.228121233684696,20.706527940234576,107.43366431136246,-19.46689283033837,15.144566000000001,3.082655
17450,65.62766802462878,15.220167414714908,18.11368489032656,93.530614966081,-16.996589044770936,13.449508999999999,2.5116777000000003
19227,66.20070596676636,15.874649203665435,20.67833275816717,100.34452068045357,-12.269188261040465,11.324224000000001,1.9229269
19259,66.11822759101871,15.884176825343909,20.427173906644022,97.93689390469106,-27.924670732472297,13.793448999999999,2.7745047
19937,65.92951789088579,15.880803450919556,22.477088820499397,114.89314405896893,-25.89355391931108,13.549859,2.683323
21832,66.31936239676665,16.3022336834695,21.250239265348167,108.55029876049757,-25.83963038411747,14.998648999999999,3.0578060000000002
24399,65.98260314349544,16.354077059105517,22.088260260658192,114.60982694374128,-27.79161336804319,14.329463,-0.25275135
26625,66.05368139719631,16.378832571987743,17.449854123331388,89.65812351400602,-21.969793217646227,8.081527000000001,0.75091076
27063,68.4626315976831,14.844319676275644,21.635396574818312,103.08256504033994,-24.42654584916941,4.6015615,0.34702873
27064,68.4696324759209,14.850761740625991,21.94460899596352,101.81615258036,-25.708154377804252,15.195518,3.1247358
28908,65.99690955661914,16.721465710411213,21.74597706160512,108.74205842614374,-24.431000300649558,11.733229,2.0506887
29515,66.11855100326646,16.886053964801455,21.78198240048909,112.37591155236862,-25.540146749299087,7.6696334,0.7718458
