-55.03078098559685 km / s 271.9599944512983 km / s 7.876589886834321 km / s
-56.578349814097635 km / s 270.32602434369227 km / s 8.42290117407954 km / s
-55.53946197303895 km / s 271.35859186104375 km / s 8.606504741616753 km / s
-54.11215712811486 km / s 271.31767662925836 km / s 9.2682676340979 km / s
-58.554869953927394 km / s 273.8158167608139 km / s 7.583279696536528 km / s
-52.30032598494702 km / s 263.0248289461483 km / s 13.320557101491474 km / s
-54.13454352264816 km / s 273.0670394283884 km / s 8.014281120518534 km / s
-53.664841659455554 km / s 270.63203468120594 km / s 9.489961903909622 km / s
-59.729101483608375 km / s 270.5642507922805 km / s 10.880625482433555 km / s
-53.429838935549256 km / s 275.88212410192466 km / s 5.2038442372676945 km / s
-57.470312142442076 km / s 270.9761275587788 km / s 9.854229066381958 km / s
-55.37750744046577 km / s 272.4774569374983 km / s 8.0919274771318 km / s
-57.04162314245907 km / s 270.2158340534083 km / s 10.519007184203891 km / s
-55.000113248881185 km / s 270.0082648985931 km / s 9.06108514858974 km / s
-54.512802482168304 km / s 269.3914543233669 km / s 8.624614243073145 km / s
-55.904278365990116 km / s 272.08900999352835 km / s 9.322178858679349 km / s
-63.900584210767086 km / s 275.3244715682641 km / s 8.351725033134795 km / s
-136.94268752478223 km / s 341.04672168612313 km / s -14.651566453345922 km / s
-53.38690191311632 km / s 270.34031061939044 km / s 9.633178074456467 km / s
-54.70457374190706 km / s 271.5509462008695 km / s 8.355550363477606 km / s
-54.00971721104338 km / s 271.63680423475074 km / s 7.180920053975997 km / s
-53.82947818588208 km / s 271.28389152352867 km / s 9.661177656342968 km / s
-53.18660060904009 km / s 272.6804970818447 km / s 8.965575203556782 km / s
-54.098204199642986 km / s 271.4620643333714 km / s 9.77466668835134 km / s
-52.38979004704274 km / s 270.23847601679245 km / s 9.253329742848399 km / s
-55.97426935129543 km / s 271.46487294819093 km / s 9.648087629214865 km / s
-55.201323667933295 km / s 272.96995669810354 km / s 7.908006727544821 km / s
-40.67033163980827 km / s 262.0716570821184 km / s 14.139871719810245 km / s
-55.256806534135734 km / s 274.0022972384469 km / s 6.201021973086046 km / s
-51.203655532019866 km / s 266.6948264555217 km / s 11.16083003458582 km / s
-56.4335437044253 km / s 270.9964585262062 km / s 8.14590200919129 km / s
-70.19824783690899 km / s 259.3735465261784 km / s 22.486673525104923 km / s
-63.597182433620205 km / s 275.62605433845965 km / s 6.892338941395541 km / s
-58.90965525691737 km / s 271.67897061360594 km / s 10.271677252109328 km / s
-56.863208696807305 km / s 273.26191574673516 km / s 7.264800522642188 km / s
-56.25357601395443 km / s 273.5987671220151 km / s 7.763417147608007 km / s
-55.98996620055759 km / s 273.2812184960615 km / s 8.528010091822647 km / s
-53.75942508196872 km / s 279.00212112029226 km / s 3.341349361397567 km / s
-53.26924571009518 km / s 274.08748290850815 km / s 7.642081636605433 km / s
-50.52789034854943 km / s 265.9444873528364 km / s 11.532009566090187 km / s
-54.84643419777698 km / s 271.91377137275595 km / s 9.088793360054611 km / s
-55.65835116564154 km / s 271.3148252865803 km / s 9.756163919032337 km / s
-61.128563916624366 km / s 277.57868469496395 km / s 6.423143281422051 km / s
-54.969018221440145 km / s 272.92739567150517 km / s 8.500377693314412 km / s
-56.636431717171305 km / s 269.75234037889663 km / s 11.840912567611714 km / s
-53.4131846123162 km / s 271.48153358431836 km / s 9.68022117179718 km / s
-56.99315316545729 km / s 272.7355276344054 km / s 8.815953062270657 km / s
-56.458935490636975 km / s 273.5227547453029 km / s 8.967005130721995 km / s
-55.94139015434514 km / s 273.16158967693013 km / s 8.46430524772343 km / s
-56.95768351653386 km / s 274.3506086083512 km / s 8.662011755359279 km / s
-41.98769113983305 km / s 284.4376065912555 km / s -3.2643987115591933 km / s
-56.722667833115906 km / s 273.5143275958901 km / s 8.615016455324957 km / s
-56.76475951161122 km / s 274.6180235871597 km / s 7.426220438293658 km / s
-57.6379420024422 km / s 275.2450815241834 km / s 7.557427066050479 km / s
-55.349165197835475 km / s 272.5972019005235 km / s 8.990048251834192 km / s
-61.95776609480802 km / s 271.36889160079477 km / s 11.572944035482449 km / s
-57.26363234066955 km / s 273.8016773225931 km / s 7.468285038030974 km / s
-55.57302205491117 km / s 272.5629140333095 km / s 9.469642642252467 km / s
-58.12283008694245 km / s 274.1579086469289 km / s 7.978559283932638 km / s
-57.26580559722246 km / s 276.1691862910053 km / s 8.128598813232447 km / s
-54.86801329159993 km / s 273.7034752982699 km / s 8.072067359907985 km / s
-57.48074366550855 km / s 273.0425634820764 km / s 9.359630224440052 km / s
-55.08992276560327 km / s 271.58738234978625 km / s 9.264080689134317 km / s
-55.68568756292811 km / s 273.2126190069784 km / s 7.975976160992516 km / s
-55.78403289293079 km / s 274.9381288669446 km / s 8.206153556669754 km / s
-54.418515583424934 km / s 273.51837850400153 km / s 7.647775957151168 km / s
-55.455129265208434 km / s 275.30120091941916 km / s 7.16312491156397 km / s
-56.15339986535202 km / s 273.89045981033087 km / s 8.595851773954708 km / s
-48.34214817106714 km / s 266.08528716138295 km / s 10.385798458547622 km / s
-56.73686067248517 km / s 275.45392015409897 km / s 8.584635608231753 km / s
-56.55565352768708 km / s 275.6006735877843 km / s 7.886412670884187 km / s
-53.3233455444673 km / s 272.2317407634453 km / s 9.934381358127911 km / s
-56.79443846211126 km / s 268.7459250325519 km / s 9.901531795763383 km / s
-53.914744073018035 km / s 271.79180447150316 km / s 9.203407364679576 km / s
-55.74036822969678 km / s 272.31618042695646 km / s 11.041609991494266 km / s
